Address,Latitude,Longitude
天津市南开区复康路24号,39.106979661748056,117.15929122818054
天津市和平区甘肃路4号,39.13020776109244,117.19156770447624
天津市红桥区北马路354号（原二中心医院原址）,39.153250897758774,117.18404080260814
天津市河北区江都路24号,39.15872041826157,117.24757588522621
天津市和平区营口道210号,39.121088547266666,117.19876544270625
天津市河西区解放南路406号,39.09947102781603,117.23845952158874
天津市南开区鞍山西道314号,39.12175910832008,117.17008895024102
天津市河西区马场道91号,39.11832203319197,117.21999323488123
天津市红桥区北马路354号,39.153250897758774,117.18404080260814
天津市和平区大沽路75号（天津市口腔医院院内）,39.133647120135414,117.21250900252484
天津市和平区鞍山道154号,39.12329732592392,117.19253634730765
天津市河西区气象台路122号,39.095392468492506,117.18918423046662
天津市河西区吴家窑大街39号,39.104309213457945,117.19531309946954
天津市南开区鞍山西道314号,39.12175910832008,117.17008895024102
天津市红桥区芥园道130号,39.15297454270685,117.16331949957893
天津市河西区马场道225号,39.10592270752904,117.20663498279511
天津市和平区大沽北路75号,39.13314155050074,117.21176799030968
天津市南开区三纬路122号,39.133733317084136,117.17728141296776
天津市红桥区北马路354号,39.153250897758774,117.18404080260814
天津河西区平江道23号,39.090129414683645,117.22709586705697
天津市河东区津塘路83号,39.1164062222057,117.25576429927186
天津市河北区中山路一号,39.1737624660802,117.21565693452348
天津市南开区三纬路122号,39.133733317084136,117.17728141296776
天津市河西区微山路4号,39.06735146735192,117.26982529575844
天津市河西区气象台路122号,39.095392468492506,117.18918423046662
天津市河西区解放南路406号,39.09947102781603,117.23845952158874
天津市南开区苏堤路75号,39.11873911541374,117.15916079422048
天津市河北区中山路125号,39.165338944012554,117.20893239913688
天津市河西区平江道23号,39.090129414683645,117.22709586705697
天津市河西区体院北环湖西路,39.08652156486458,117.19590391500347
天津市河西区柳林路14号,39.079635938365854,117.29411368013723
天津市和平区西安道93号,39.12169962784009,117.20385149334189
天津市津南区双港东,39.04858969711891,117.32533994746123
天津市河东区成林道211号（成林道与天山路交口处东南角）,39.144101502218014,117.27348229748958
天津和平区气象台路12号,39.11028102719207,117.19237932350451
天津市河北区黄纬路60号,39.1668166898355,117.19691405954943
天津市经济技术开发区第三大街61号,39.034452626400146,117.72084275332503
天津市南京路288号,39.12620964408349,117.18862108274242
天津市河北区黄纬路60号,39.1668166898355,117.19691405954943
天津市和平区同安道64号,39.1103810406851,117.19042137681497
天津市河西区气象台路122号,39.095392468492506,117.18918423046662
天津市和平区滨江道205号,39.12896405915215,117.2051810753272
天津市河北区建昌道34号,39.17965332010353,117.23040558387795
天津市和平区南京路288号,39.12620964408349,117.18862108274242
天津市河东区程林庄道与天山路口,39.144258200403954,117.28358401244093
天津市南开区红旗南路600号,39.07390442453333,117.19016275465863
天津市经济技术开发区第三大街61号,39.034452626400146,117.72084275332503
天津市塘沽区杭州道41号,39.041721730033444,117.66245490139211
天津市南开区红旗南路600号,39.07390442453333,117.19016275465863
天津市河北区中山路3号,39.170178233444595,117.21578269729487
天津市河北区王串场真理道3号路,39.15618805557832,117.23472885880581
天津市河西区三义庄街马场道91号,39.11832203319197,117.21999323488123
天津市和平区鞍山道,39.127414001205416,117.19505357900772
天津市河西区体院北环湖西路,39.08652156486458,117.19590391500347
天津市和平区四平东道29号,39.13269034085436,117.20126437347315
天津市和平区同安道66号,39.110573228563226,117.19017883432727
"天津市塘沽和平路58号,河滨公园西侧",39.01837556747855,117.6543213438696
天津市和平区睦南道122号,39.108907489412424,117.20270399788343
天津市宝坻区城关镇广川路,39.72548493280083,117.31816464236972
天津市东丽区永平巷20号,39.098418090113604,117.31960597356048
天津市蓟县城内兴华大街16号,40.04972588683914,117.43179418090446
天津市南京路78号,39.122607854265134,117.21878923600622
天津市大港区大港油田二号院,38.79749362127624,117.51137443721956
天津市北辰区辽河北路,39.2303439099184,117.14140273157703
天津市大港区石化路1号,38.84492780121827,117.45685681480231
天津市和平区多伦道185号,39.129501075223786,117.18812000792894
天津市河北区光明道24号,39.144856588365826,117.2063866013216
天津市塘沽区西半圆路3号,39.02170578024756,117.65483562377406
天津市河东区万东路77号,39.137245332487176,117.27516024235165
天津市武清区机场路10号,39.122542701839556,117.34031676913736
天津市塘沽区东大街7号,39.02137067077187,117.67908897423796
天津市河北区中山路296号,39.15669919360365,117.19952058281719
天津市宁河县芦台镇新华道30号,39.332977079258704,117.8285961161968
天津市河北区建昌道34号,39.17965332010353,117.23040558387795
天津市河北区南口路50号,39.19280496090396,117.18944976957538
天津市北辰区北医道,39.23240778418844,117.14057224813307
天津市宝坻区津围公路,39.75626218204403,117.38387317516919
天津市静海县静海镇胜利南路14号,38.93220823453867,116.93138177792183
天津市津南区津沽120号,38.94414856811469,117.36338677903083
天津市西青区杨柳青西青343号,39.134722755284216,117.02050132010847
天津市蓟县城关镇渔阳南路19号,40.048565958582856,117.41254097857022
天津市塘沽区新港二号路,39.00196915322664,117.7443988390521
天津市西青区道296号,39.14872660896657,117.01441017993696
天津市武清区杨村镇外场路16号,39.389871228788344,117.05059715977872
天津市塘沽区河南路8号,39.132631079578665,117.19607701847524
天津市静海县静海镇东方红路,38.93940076971471,116.96287088943805
天津市东丽区先锋路33号,39.089865131455305,117.31699855198723
天津市南开区黄河道420号,39.14514920478775,117.15084661740343
天津市塘沽区杭州道90号,39.04717172615139,117.64205659908076
天津市南开区（具体未详）,39.14410527976771,117.15651537432414
天津市河东区张贵庄路35号,39.13343162729824,117.24608856079334
天津市津南区双港,39.04858969711891,117.32533994746123
